
NormalizedLandmark(x=0.3119170069694519, y=0.7159743309020996, z=-0.4176981449127197, visibility=0.9973256587982178, presence=0.9933955073356628)
NormalizedLandmark(x=0.31020525097846985, y=0.716524064540863, z=-0.4105944037437439, visibility=0.9969388246536255, presence=0.9917494058609009)
NormalizedLandmark(x=0.30894163250923157, y=0.7185333967208862, z=-0.38434359431266785, visibility=0.9961102604866028, presence=0.9910386204719543)
NormalizedLandmark(x=0.30862706899642944, y=0.7266175150871277, z=-0.38498079776763916, visibility=0.9980804920196533, presence=0.9955641031265259)
NormalizedLandmark(x=0.3115276098251343, y=0.7170776724815369, z=-0.3525911271572113, visibility=0.9970024228096008, presence=0.9926024079322815)
NormalizedLandmark(x=0.307513564825058, y=0.7169627547264099, z=-0.3928307592868805, visibility=0.9957139492034912, presence=0.9892080426216125)
NormalizedLandmark(x=0.3016199767589569, y=0.7160816192626953, z=-0.3678692877292633, visibility=0.9968655705451965, presence=0.9923296570777893)
NormalizedLandmark(x=0.3055207133293152, y=0.7170102000236511, z=-0.4178677797317505, visibility=0.9973117113113403, presence=0.9918994903564453)
NormalizedLandmark(x=0.30921614170074463, y=0.713857114315033, z=-0.4083543121814728, visibility=0.9965946078300476, presence=0.9915646314620972)
NormalizedLandmark(x=0.31422901153564453, y=0.7179751992225647, z=-0.3423057198524475, visibility=0.9970436692237854, presence=0.9932749271392822)
NormalizedLandmark(x=0.31042391061782837, y=0.7170628309249878, z=-0.38399413228034973, visibility=0.9960047602653503, presence=0.9903299808502197)
NormalizedLandmark(x=0.3058844208717346, y=0.7136587500572205, z=-0.3809778094291687, visibility=0.9979092478752136, presence=0.9953296184539795)
NormalizedLandmark(x=0.31041717529296875, y=0.6984724998474121, z=-0.3714180290699005, visibility=0.9979686141014099, presence=0.9918387532234192)
NormalizedLandmark(x=0.3149212896823883, y=0.6485769748687744, z=-0.2749190032482147, visibility=0.9978411197662354, presence=0.9889189600944519)
NormalizedLandmark(x=0.33214205503463745, y=0.5229523777961731, z=-0.32843098044395447, visibility=0.9985092282295227, presence=0.9978887438774109)
NormalizedLandmark(x=0.36410465836524963, y=0.4991963803768158, z=-0.336974561214447, visibility=0.9961646795272827, presence=0.9952974915504456)
NormalizedLandmark(x=0.37659701704978943, y=0.4738636910915375, z=-0.3522885739803314, visibility=0.994141161441803, presence=0.9937259554862976)
NormalizedLandmark(x=0.4110446572303772, y=0.43028441071510315, z=-0.4404357075691223, visibility=0.9941200613975525, presence=0.9909965991973877)
NormalizedLandmark(x=0.4304618835449219, y=0.42767420411109924, z=-0.45408740639686584, visibility=0.9899113774299622, presence=0.9876706600189209)
NormalizedLandmark(x=0.43295711278915405, y=0.42236828804016113, z=-0.4071851074695587, visibility=0.9884189963340759, presence=0.9856297373771667)
NormalizedLandmark(x=0.4405607581138611, y=0.4200509786605835, z=-0.4309145510196686, visibility=0.9847085475921631, presence=0.9781942963600159)
NormalizedLandmark(x=0.43319863080978394, y=0.44189128279685974, z=-0.46792691946029663, visibility=0.9842258095741272, presence=0.9790274500846863)
NormalizedLandmark(x=0.43695735931396484, y=0.4145010709762573, z=-0.47291314601898193, visibility=0.9849898815155029, presence=0.971356213092804)
NormalizedLandmark(x=0.4326208233833313, y=0.40712761878967285, z=-0.35875996947288513, visibility=0.9806995987892151, presence=0.9506679177284241)
NormalizedLandmark(x=0.43554234504699707, y=0.4060736894607544, z=-0.4648783802986145, visibility=0.9888224601745605, presence=0.9783936142921448)
NormalizedLandmark(x=0.43398523330688477, y=0.4126172661781311, z=-0.43748366832733154, visibility=0.9844075441360474, presence=0.9840173125267029)
NormalizedLandmark(x=0.4340924918651581, y=0.4173078238964081, z=-0.5256324410438538, visibility=0.9889217615127563, presence=0.9859226942062378)
NormalizedLandmark(x=0.42053139209747314, y=0.4124554991722107, z=-0.47554293274879456, visibility=0.9864798188209534, presence=0.9750158190727234)
NormalizedLandmark(x=0.4103012681007385, y=0.40455296635627747, z=-0.5103635787963867, visibility=0.9881525635719299, presence=0.9792167544364929)
NormalizedLandmark(x=0.4067847728729248, y=0.3981879651546478, z=-0.4594583213329315, visibility=0.9876084327697754, presence=0.9771226644515991)
NormalizedLandmark(x=0.4003642797470093, y=0.39984366297721863, z=-0.5047668814659119, visibility=0.9847701787948608, presence=0.9733225703239441)
NormalizedLandmark(x=0.40054449439048767, y=0.4081493318080902, z=-0.4212310314178467, visibility=0.9866803288459778, presence=0.9761568903923035)
