
NormalizedLandmark(x=0.721943736076355, y=0.6864016056060791, z=-0.28667905926704407, visibility=0.9933438301086426, presence=0.9893752336502075)
NormalizedLandmark(x=0.7176206707954407, y=0.6873805522918701, z=-0.17542633414268494, visibility=0.9903923273086548, presence=0.9873644709587097)
NormalizedLandmark(x=0.7251230478286743, y=0.6785282492637634, z=-0.2513570785522461, visibility=0.9876164793968201, presence=0.9794995188713074)
NormalizedLandmark(x=0.7255057692527771, y=0.6852245926856995, z=-0.179703950881958, visibility=0.9906242489814758, presence=0.986507773399353)
NormalizedLandmark(x=0.7223145961761475, y=0.6907130479812622, z=-0.2818956971168518, visibility=0.992658793926239, presence=0.9879128336906433)
NormalizedLandmark(x=0.7212836146354675, y=0.6966040730476379, z=-0.2553596496582031, visibility=0.9873113632202148, presence=0.9814997911453247)
NormalizedLandmark(x=0.715419352054596, y=0.6908257603645325, z=-0.2890719473361969, visibility=0.9815340638160706, presence=0.9771406650543213)
NormalizedLandmark(x=0.7188423275947571, y=0.6966943144798279, z=-0.24833014607429504, visibility=0.9870872497558594, presence=0.9820391535758972)
NormalizedLandmark(x=0.7133574485778809, y=0.6862266659736633, z=-0.20890511572360992, visibility=0.9722723364830017, presence=0.9695563316345215)
NormalizedLandmark(x=0.7160341739654541, y=0.6945143938064575, z=-0.23170897364616394, visibility=0.9727897047996521, presence=0.9626403450965881)
NormalizedLandmark(x=0.7246219515800476, y=0.6939736604690552, z=-0.2507247030735016, visibility=0.9839615821838379, presence=0.968853771686554)
NormalizedLandmark(x=0.7228808403015137, y=0.6911355257034302, z=-0.2515961527824402, visibility=0.9777656197547913, presence=0.968410849571228)
NormalizedLandmark(x=0.7223096489906311, y=0.6938320994377136, z=-0.27728042006492615, visibility=0.9847224354743958, presence=0.9779345393180847)
NormalizedLandmark(x=0.7201598286628723, y=0.6988219022750854, z=-0.23077811300754547, visibility=0.9891915917396545, presence=0.9680211544036865)
NormalizedLandmark(x=0.7190417647361755, y=0.6911303997039795, z=-0.2475442737340927, visibility=0.9867900013923645, presence=0.9816731214523315)
NormalizedLandmark(x=0.707746684551239, y=0.7010281682014465, z=-0.06302595883607864, visibility=0.9695343375205994, presence=0.976706862449646)
NormalizedLandmark(x=0.7174227237701416, y=0.7018797993659973, z=-0.17089666426181793, visibility=0.9775837659835815, presence=0.9723954796791077)
NormalizedLandmark(x=0.7163689136505127, y=0.7015871405601501, z=-0.04223554581403732, visibility=0.9689680933952332, presence=0.9752489924430847)
